t_global,hour,local_hour,thermal_demand_kw
0,0,0,19.39629045944963
1,1,1,16.163575382874694
2,2,2,16.163575382874694
3,3,3,16.163575382874694
4,4,4,19.39629045944963
5,5,5,35.55986584232433
6,6,6,54.95615630177396
7,7,7,64.65430153149877
8,8,8,64.65430153149877
9,9,9,54.95615630177396
10,10,10,48.49072614862408
11,11,11,45.258011072049136
12,12,12,45.258011072049136
13,13,13,45.258011072049136
14,14,14,48.49072614862408
15,15,15,51.723441225199025
16,16,16,58.1888713783489
17,17,17,64.65430153149877
18,18,18,64.65430153149877
19,19,19,64.65430153149877
20,20,20,64.65430153149877
21,21,21,58.1888713783489
22,22,22,45.258011072049136
23,23,23,29.09443568917445
24,24,0,19.39629045944963
25,25,1,16.163575382874694
26,26,2,16.163575382874694
27,27,3,16.163575382874694
28,28,4,19.39629045944963
29,29,5,35.55986584232433
30,30,6,54.95615630177396
31,31,7,64.65430153149877
32,32,8,64.65430153149877
33,33,9,54.95615630177396
34,34,10,48.49072614862408
35,35,11,45.258011072049136
36,36,12,45.258011072049136
37,37,13,45.258011072049136
38,38,14,48.49072614862408
39,39,15,51.723441225199025
40,40,16,58.1888713783489
41,41,17,64.65430153149877
42,42,18,64.65430153149877
43,43,19,64.65430153149877
44,44,20,64.65430153149877
45,45,21,58.1888713783489
46,46,22,45.258011072049136
47,47,23,29.09443568917445
48,48,0,19.39629045944963
49,49,1,16.163575382874694
50,50,2,16.163575382874694
51,51,3,16.163575382874694
52,52,4,19.39629045944963
53,53,5,35.55986584232433
54,54,6,54.95615630177396
55,55,7,64.65430153149877
56,56,8,64.65430153149877
57,57,9,54.95615630177396
58,58,10,48.49072614862408
59,59,11,45.258011072049136
60,60,12,45.258011072049136
61,61,13,45.258011072049136
62,62,14,48.49072614862408
63,63,15,51.723441225199025
64,64,16,58.1888713783489
65,65,17,64.65430153149877
66,66,18,64.65430153149877
67,67,19,64.65430153149877
68,68,20,64.65430153149877
69,69,21,58.1888713783489
70,70,22,45.258011072049136
71,71,23,29.09443568917445
72,72,0,19.39629045944963
73,73,1,16.163575382874694
74,74,2,16.163575382874694
75,75,3,16.163575382874694
76,76,4,19.39629045944963
77,77,5,35.55986584232433
78,78,6,54.95615630177396
79,79,7,64.65430153149877
80,80,8,64.65430153149877
81,81,9,54.95615630177396
82,82,10,48.49072614862408
83,83,11,45.258011072049136
84,84,12,45.258011072049136
85,85,13,45.258011072049136
86,86,14,48.49072614862408
87,87,15,51.723441225199025
88,88,16,58.1888713783489
89,89,17,64.65430153149877
90,90,18,64.65430153149877
91,91,19,64.65430153149877
92,92,20,64.65430153149877
93,93,21,58.1888713783489
94,94,22,45.258011072049136
95,95,23,29.09443568917445
96,96,0,19.39629045944963
97,97,1,16.163575382874694
98,98,2,16.163575382874694
99,99,3,16.163575382874694
100,100,4,19.39629045944963
101,101,5,35.55986584232433
102,102,6,54.95615630177396
103,103,7,64.65430153149877
104,104,8,64.65430153149877
105,105,9,54.95615630177396
106,106,10,48.49072614862408
107,107,11,45.258011072049136
108,108,12,45.258011072049136
